semantic$\cap$letters,semantic\letters
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
-4.1883622006487486e-05,-0.012269994966748198
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
-0.000805787656676594,0.0008991068218053797
-0.0038442025114104623,-0.0017812312257051825
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.00034652168355934815,-0.0004505774625085977
0.009930328146752399,-4.732580458822157e-05
0.006676268858488309,0.00890005748881615
0.011840550274710008,0.012972005201963253
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
-0.0020293146184988337,0.0012742227065201054
-0.0005498636710036106,-0.00213364541841493
0.037384890067015536,0.02233468956925167
0.022471537935501693,0.005672962101071727
0.0048425492912320695,0.0009938136090001813
,
,
,
,
,
,
,
,
,
,
,
,
,
-8.121114331512656e-05,-0.004265869896147516
0.005451434884144487,-0.0005139053930229998
-0.0008359711680610984,-0.0009167020015624617
0.009241205637582985,0.01595687623297935
0.004010513888116239,0.0012190986906714368
0.00776178889173813,0.016334493143348273
0.009289777467061004,0.0019062541248280522
,
,
,
,
,
,
,
,
,
,
,
-5.949892461073678e-07,-0.0020748206373410205
0.009143373760290154,0.022716064811183278
0.0004490147601329698,0.0029912753186913128
-0.002962501274014277,-0.00031067827473542066
0.002673541433417355,-9.018373366141874e-05
-0.0008743312764628198,0.0006114444063824415
-0.0014595440229460937,0.001416597048569762
,
,
,
,
,
,
,
,
,
,
0.0015141549205925108,-0.0007854923872599227
0.010609011112714187,0.00782816831836109
-0.003801596836580631,-0.005355049516899995
-3.6849493268719096e-05,0.0017330329475796619
-0.0004208709182172924,-0.005460693212311674
-0.002887992623950026,-0.007977846349259157
0.003994526452874415,-0.001059811737845343
-0.004707536392979346,-6.933878714263747e-05
-0.00038595029561753347,0.000389783904520456
,
,
,
,
,
,
,
,
,
-0.0006900791043967441,0.0012289214021988474
0.0033694917068173994,0.0014247619475512866
-0.009799190889627907,-0.015379709756903592
0.0035597096698070634,0.005429314990980966
0.002526134115091996,-0.009512494490183562
-0.0020427369435352775,-0.0006369003093994709
0.013775954075646551,0.004101704107043937
0.012692314586214358,0.005989013956953063
0.0006519405437917436,-0.0001514196440488971
,
,
,
,
,
,
,
-0.0007628753989190272,-0.0038742312011755676
2.8921868014535564e-06,-7.024692541981729e-06
4.65853150366409e-05,-0.006666592220932371
-0.0023018524555164658,-0.0019670700447069122
0.013387059756476331,0.0010620799048887595
0.0046921305018832035,5.34646184505991e-07
0.003957437177192896,0.0037780951886462397
5.917865167767884e-05,-0.0008725240879972995
0.000378152501050089,-1.0388090488925007e-05
,
,
,
,
,
0.002504154837917918,4.3463311989286714e-05
3.7070566586080186e-05,-0.0001354941359155404
0.0023810670526352956,-0.0033946940367249774
-0.0009060938400545051,5.287660492743607e-06
-0.0039369484274121925,-0.00017733205721921213
-0.011361263002879065,-0.004302629750097854
0.0005130944024119583,0.008463507794053695
0.014748940025647203,-0.00021325056324512627
0.0057640747989357016,0.0005415806999224128
0.002104044882038945,-0.0016677093573610239
,
